Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-12,65,72.1,60,70,59867551
2020-10-13,72,80,71.08,80,18452974
2020-10-14,84,90.3,71.25,75.96,16731591
2020-10-15,76,80,71.52,79.22,6235974
2020-10-16,80,85.44,79.25,81.45,15480831
2020-10-19,81.45,83.62,79.8,83.4,3205087
2020-10-20,83.45,85.6,83.33,85,3048042
2020-10-21,85.99,85.99,82.12,84.17,2734889
2020-10-22,83.84,89,83.72,85.37,5133134
2020-10-23,86.37,89,85.43,89,30874654
2020-10-26,89,92.86,85.5,91.7,2752483
2020-10-27,91.6,98.78,90.4,94.64,3996495
2020-10-28,94.64,96.55,82.1,87.67,4158058
2020-10-29,88,90.37,84.63,85.94,1854893
2020-10-30,85,86.8,80,80.45,1850831
2020-11-02,81.2,85.44,81.18,84.17,2942285
2020-11-03,85.4,85.5,82.12,83.69,1908419
2020-11-04,83,87.2,82.5,86.59,2026196
2020-11-05,88.3,89.6,86.7,87.56,1296652
2020-11-06,88,93,87.87,92.13,2860026
2020-11-09,94,95.3,84.6,90.61,4577919
2020-11-10,89,89,82.62,82.75,4475543
2020-11-12,84.41,84.6,79.45,79.5,4993858
2020-11-13,79.95,80.36,74.7,75.88,3626856
2020-11-16,76.05,76.48,72.11,72.39,2730979
2020-11-17,71.2,71.44,67.4,67.89,4080037
2020-11-18,67.8,69.99,65.3,67.3,3151660
2020-11-19,67.67,71.9,67.45,71.9,2647711
2020-11-20,73.29,79.45,72.74,78.32,3325301
2020-11-23,79.6,81.62,75,76.6,2947478
2020-11-24,76.6,79.2,73.46,78.27,2364059
2020-11-25,75.5,79.34,75.02,79.34,2028319
2020-11-26,77,77.32,74,74.2,1938984
2020-11-27,72.68,76,70.7,75,1889733
2020-11-30,75,77.6,74.32,77.07,3324698
2020-12-01,78.5,78.5,75.01,75.01,1038188
2020-12-02,74.2,75.87,74,75.2,1106902
2020-12-03,75.6,76.4,74.8,74.8,1437814
2020-12-04,74.8,75.86,74.6,75.5,2174870
2020-12-07,75.5,75.5,72.6,74.45,2401460
2020-12-08,75,78.26,73.91,78.26,1242364
2020-12-09,78.2,78.35,75.5,75.57,1295897
2020-12-10,76.04,78.96,75.86,78.7,1165328
2020-12-11,78.65,79.8,77.3,79.8,1352568
2020-12-14,80,84.7,79.31,83.65,1868710
2020-12-15,83.65,86.4,83.01,84.92,1833526
2020-12-16,85.5,88.59,84.2,85,1336367
2020-12-17,86,87.78,85.53,85.95,1289064
2020-12-18,87,88,84.49,86.1,8813180

